0.9852,0.9378,0.1984,0.3056,0,0.9991,0,0.3686,0.7014,0.594,0,0.9989
0.3288,0.537,0,0.1966,0.2268,0,0.7582,0.8414,0,0,0,0.0304
0,0.7442,0.323,0,0.9997,0,0.108,0,0.9995,0,0,0.6938
0.5386,0.9672,0.2238,0.5652,0.505,0.9988,0.9995,0,0.2222,0.761,0.1698,0.4774
0.3602,0.9996,0.797,0.315,0,0,0.8312,0,0.7778,0.4242,0,0.9999
0.829,0.9998,0.496,0.9992,0.5612,0.1656,0.198,0.9248,0.3102,0.9994,0,0.9989
0.1026,0.9993,0.1942,0.431,0.799,0.9990,0,0.9992,0.9998,0.6774,0,0.5506
0.172,0.9994,0,0.8666,0.9999,0,0.6268,0.6504,0,0,0.8346,0
0,0.4986,0.9996,0.8304,0.9998,0,0.632,0.8314,0,0.6618,0.267,0.263
0.9995,0,0.1672,0.199,0.9992,0,0.9998,0.9642,0.3996,0.2876,0,0
